Filename,w,p,p 0.99,min entropy
chaoskey958-1MB.bin,12,0.5249202990435885,0.526206706016458,0.92629846045608
chaoskey158-1MB.bin,12,0.5261883142597711,0.527474554071499,0.9228265965183959
chaoskey561-1MB.bin,12,0.5258713104557254,0.5271575928374196,0.923693777394057
chaoskey810-1MB.bin,12,0.5257253087037045,0.5270116105169128,0.9240933488680267
chaoskey469-1MB.bin,12,0.525534306411677,0.5268206334790907,0.9246162435317182
chaoskey850-1MB.bin,12,0.5250963011556139,0.5263826854233307,0.925816060344462
chaoskey938-1MB.bin,12,0.5256983083797006,0.5269846137743271,0.9241672543825995
chaoskey763-1MB.bin,12,0.5254973059676716,0.5267836379054438,0.9247175592383963
chaoskey354-1MB.bin,12,0.5259203110437325,0.5272065868791777,0.9235596995061922
chaoskey653-1MB.bin,12,0.525847310167722,0.5271335957512107,0.9237594527551909
chaoskey869-1MB.bin,12,0.525430305163662,0.5267166459027117,0.9249010409739715
chaoskey272-1MB.bin,12,0.5254613055356664,0.5267476422053694,0.9248161435310343
chaoskey282-1MB.bin,12,0.5254963059556714,0.5267826380249767,0.9247202975997586
chaoskey908-1MB.bin,12,0.5257493089917079,0.5270356076182677,0.9240276582641699
chaoskey923-1MB.bin,12,0.5256173074076889,0.5269036235239453,0.9243889937069055
chaoskey88-1MB.bin,12,0.5255533066396797,0.5268396312033469,0.9245642193195613
chaoskey411-1MB.bin,12,0.5254503054036649,0.5267366435178985,0.9248462678567335
chaoskey843-1MB.bin,12,0.5256763081156974,0.5269626164257286,0.92422747649777
chaoskey584-1MB.bin,12,0.5252543030516367,0.5265406667998588,0.9253831343395462
chaoskey541-1MB.bin,12,0.5253583042996516,0.5266446544709088,0.92509824146306
chaoskey794-1MB.bin,12,0.525868310419725,0.5271545932018065,0.9237019866502543
chaoskey145-1MB.bin,12,0.5253463041556499,0.5266326558963349,0.9251311108391793
chaoskey932-1MB.bin,12,0.5253203038436461,0.5266066589822032,0.9252023303969268
chaoskey764-1MB.bin,12,0.5255643067716813,0.5268506298849575,0.9245341008986128
chaoskey895-1MB.bin,12,0.5254883058596703,0.5267746389810537,0.9247422046782852
chaoskey700-1MB.bin,12,0.5248902986835842,0.5261767095106703,0.9263807038846957
chaoskey610-1MB.bin,12,0.5259273111277335,0.5272135860269864,0.923540546542139
chaoskey798-1MB.bin,12,0.5259253111037332,0.5272115862704955,0.9235460187915661
chaoskey17-1MB.bin,12,0.5257173086077033,0.5270036114824658,0.9241152464024986
chaoskey910-1MB.bin,12,0.5253183038196458,0.5266046592194329,0.9252078089704698
chaoskey727-1MB.bin,12,0.5257803093637123,0.5270666038697747,0.9239428123396273
chaoskey765-1MB.bin,12,0.5255053060636727,0.5267916369489944,0.9246956525351202
chaoskey797-1MB.bin,12,0.5256573078876946,0.5269436187135605,0.9242794885349367
chaoskey657-1MB.bin,12,0.5258063096757161,0.5270926007220442,0.9238716550994452
chaoskey703-1MB.bin,12,0.5251603019236231,0.5264466778952026,0.9256406822154809
chaoskey516-1MB.bin,12,0.5255103061236734,0.5267966363510456,0.9246819610149517
chaoskey176-1MB.bin,12,0.5250633007596092,0.5263496892967444,0.92590649804611
chaoskey637-1MB.bin,12,0.5256283075396905,0.5269146222019145,0.9243588789537638
chaoskey921-1MB.bin,12,0.525569306831682,0.5268556292854827,0.924520410915693
chaoskey692-1MB.bin,12,0.5256243074916899,0.5269106226827254,0.9243698297001578
chaoskey425-1MB.bin,12,0.5252893034716417,0.5265756626569381,0.9252872506312295
chaoskey742-1MB.bin,12,0.5252773033276399,0.5265636640780818,0.9253201243256688
chaoskey776-1MB.bin,12,0.5256463077556931,0.5269326200372414,0.9243096016263967
chaoskey796-1MB.bin,12,0.5262743152917835,0.5275605434649134,0.9225914261965509
chaoskey539-1MB.bin,12,0.5257463089557075,0.5270326079807613,0.9240358694256315
chaoskey468-1MB.bin,12,0.5255843070116841,0.5268706274862824,0.924479341748481
chaoskey74-1MB.bin,12,0.5253763045156542,0.5266626523313732,0.9250489388068011
chaoskey68-1MB.bin,12,0.525097301167614,0.5263836853058665,0.925813319896788
chaoskey223-1MB.bin,12,0.5256003072036864,0.5268866255658528,0.9244355359288868
chaoskey815-1MB.bin,12,0.5256073072876875,0.5268936247252484,0.9244163713022053
chaoskey265-1MB.bin,12,0.5258423101077213,0.5271285963578755,0.9237731354994383
chaoskey501-1MB.bin,12,0.525520306243675,0.5268066351547598,0.9246545783654784
chaoskey51-1MB.bin,12,0.5255583066996804,0.5268446306041565,0.9245505290500622
chaoskey386-1MB.bin,12,0.5259183110197322,0.5272045871226143,0.9235651718284666
chaoskey674-1MB.bin,12,0.5255123061476737,0.5267986361118298,0.9246764844433654
chaoskey427-1MB.bin,12,0.5257113085357025,0.5269976122064133,0.924131669772065
chaoskey249-1MB.bin,12,0.525569306831682,0.5268556292854827,0.924520410915693
chaoskey728-1MB.bin,12,0.5260823129877559,0.5273685670920878,0.923116510510424
chaoskey515-1MB.bin,12,0.5255893070716848,0.5268756268862904,0.9244656522865844
chaoskey399-1MB.bin,12,0.5247302967635612,0.5260167280678655,0.9268194149195763
chaoskey117-1MB.bin,12,0.5252033024396293,0.526489672825344,0.925522862040519
chaoskey280-1MB.bin,12,0.5252523030276364,0.5265386670364057,0.9253886136015999
chaoskey945-1MB.bin,12,0.5255263063156758,0.52681263443674,0.9246381490259407
chaoskey63-1MB.bin,12,0.5254743056916683,0.5267606406533918,0.9247805428683584
chaoskey366-1MB.bin,12,0.5256763081156974,0.5269626164257286,0.92422747649777
chaoskey841-1MB.bin,12,0.5252723032676392,0.5265586646700051,0.9253338219200369
chaoskey417-1MB.bin,12,0.5253953047436569,0.5266816500711565,0.9249968989468731
chaoskey726-1MB.bin,12,0.525444305331664,0.5267306442335596,0.924862699572963
chaoskey60-1MB.bin,12,0.5258713104557254,0.5271575928374196,0.923693777394057
chaoskey524-1MB.bin,12,0.5251953023436281,0.5264816737692974,0.9255447813425546
chaoskey911-1MB.bin,12,0.5256403076836922,0.5269266207589853,0.9243260272146613
chaoskey919-1MB.bin,12,0.5255883070596847,0.5268746270062992,0.9244683901685437
chaoskey254-1MB.bin,12,0.5251993023916287,0.5264856732973621,0.9255338216497951
chaoskey494-1MB.bin,12,0.5252813033756405,0.52656766360445,0.9253091663440655
chaoskey934-1MB.bin,12,0.5256063072756874,0.5268926248453503,0.9244191090903878
chaoskey651-1MB.bin,12,0.5255583066996804,0.5268446306041565,0.9245505290500622
chaoskey290-1MB.bin,12,0.5262063144757737,0.5274925518546821,0.92277737164228
chaoskey987-1MB.bin,12,0.525424305091661,0.5267106466177521,0.9249174733157602
chaoskey531-1MB.bin,12,0.5254003048036576,0.5266866494760523,0.9249832045597274
chaoskey668-1MB.bin,12,0.5252413028956348,0.5265276683370442,0.9254187499158901
chaoskey542-1MB.bin,12,0.5256573078876946,0.5269436187135605,0.9242794885349367
chaoskey868-1MB.bin,12,0.5257213086557039,0.5270076109997307,0.9241042975936036
chaoskey658-1MB.bin,12,0.5251353016236194,0.5264216808383988,0.9257091867528151
chaoskey379-1MB.bin,12,0.5254383052596631,0.5267246449490346,0.9248791314768552
chaoskey262-1MB.bin,12,0.525868310419725,0.5271545932018065,0.9237019866502543
chaoskey563-1MB.bin,12,0.5257413088957067,0.5270276085848137,0.9240495547988727
chaoskey170-1MB.bin,12,0.5256333075996912,0.5269196216007845,0.9243451906379785
chaoskey575-1MB.bin,12,0.5256603079236951,0.5269466183524482,0.9242712759830115
chaoskey603-1MB.bin,12,0.526132313587763,0.5274185609575432,0.9229797513484975
chaoskey433-1MB.bin,12,0.5254083048996588,0.5266946485236167,0.9249612938114063
chaoskey157-1MB.bin,12,0.5253523042276508,0.526638655183715,0.9251146760572553
chaoskey611-1MB.bin,12,0.5256413076956924,0.5269276206387077,0.9243232896035947
chaoskey30-1MB.bin,12,0.5255013060156722,0.5267876374272606,0.924706605845064
chaoskey343-1MB.bin,12,0.5250453005436065,0.5263316914071418,0.925955830097678
chaoskey214-1MB.bin,12,0.5256793081516978,0.5269656160643214,0.9242192642427249
chaoskey866-1MB.bin,12,0.5255283063396761,0.5268146341973587,0.9246326726211179
chaoskey571-1MB.bin,12,0.5253783045396545,0.5266646520935436,0.9250434608381695
chaoskey13-1MB.bin,12,0.525583306999684,0.5268696276062653,0.9244820796564905
chaoskey532-1MB.bin,12,0.5255873070476845,0.5268736271263027,0.924471128055713
chaoskey442-1MB.bin,12,0.5255293063516763,0.5268156340776603,0.9246299344265235
chaoskey41-1MB.bin,12,0.5255673068076817,0.5268536295252881,0.9245258868932296
chaoskey412-1MB.bin,12,0.5253713044556535,0.5266576529258568,0.9250626338196286
chaoskey596-1MB.bin,12,0.5250993011916143,0.5263856850709229,0.9258078390170988
chaoskey264-1MB.bin,12,0.5251363016356196,0.5264226807207331,0.9257064465086959
chaoskey856-1MB.bin,12,0.5257753093037116,0.5270616044747065,0.9239564968277478
chaoskey676-1MB.bin,12,0.5255153061836743,0.5268016357529673,0.9246682696250719
chaoskey493-1MB.bin,12,0.5256593079116949,0.5269456184728241,0.9242740134951115
chaoskey258-1MB.bin,12,0.5256333075996912,0.5269196216007845,0.9243451906379785
chaoskey243-1MB.bin,12,0.5248532982395788,0.5261397138137889,0.9264821439216733
chaoskey570-1MB.bin,12,0.5252493029916359,0.5265356673911873,0.9253968325338054
chaoskey393-1MB.bin,12,0.525604307251687,0.5268906250855384,0.9244245846823822
chaoskey698-1MB.bin,12,0.5255673068076817,0.5268536295252881,0.9245258868932296
chaoskey592-1MB.bin,12,0.5253483041796502,0.5266346556588156,0.9251256325576791
chaoskey409-1MB.bin,12,0.5255803069636835,0.5268666279661829,0.9244902934117798
chaoskey823-1MB.bin,12,0.5256013072156865,0.5268876254457818,0.9244327981094463
chaoskey159-1MB.bin,12,0.5259543114517374,0.5272405827375883,0.9234666732119026
chaoskey725-1MB.bin,12,0.5256743080916971,0.526960616666641,0.924232951360508
chaoskey281-1MB.bin,12,0.5255573066876803,0.526843630724005,0.9245532670935407
chaoskey504-1MB.bin,12,0.5255953071436857,0.5268816261661293,0.9244492251042375
chaoskey688-1MB.bin,12,0.5253023036276435,0.5265886611165254,0.9252516383098408
chaoskey787-1MB.bin,12,0.5258893106717281,0.527175590650121,0.9236445228404864
chaoskey991-1MB.bin,12,0.5253723044676536,0.5266586528069703,0.9250598948066348
chaoskey306-1MB.bin,12,0.5255023060276723,0.5267886373077018,0.9247038675097607
chaoskey172-1MB.bin,12,0.5254873058476702,0.5267736391005401,0.9247449430865546
chaoskey526-1MB.bin,12,0.5257953095437146,0.5270816020542032,0.9239017596561863
chaoskey252-1MB.bin,12,0.5254753057036684,0.5267616405339726,0.9247778043923316
chaoskey260-1MB.bin,12,0.5257733092797113,0.527059604716643,0.92396197065944
chaoskey383-1MB.bin,12,0.5257513090157082,0.5270376073765795,0.9240221841825629
chaoskey855-1MB.bin,12,0.5257993095917151,0.5270856015698541,0.923890812471763
chaoskey473-1MB.bin,12,0.5254703056436677,0.5267566411310164,0.92479149682459
chaoskey672-1MB.bin,12,0.5254593055116661,0.5267456424440575,0.9248216206342482
chaoskey92-1MB.bin,12,0.5254833057996696,0.5267696395784337,0.9247558967717531
chaoskey829-1MB.bin,12,0.5256873082476989,0.5269736151003408,0.9241973651250982
chaoskey560-1MB.bin,12,0.525506306075673,0.5267926368294151,0.924692914220663
chaoskey508-1MB.bin,12,0.5260803129637556,0.5273665673372006,0.9231219811472969
chaoskey791-1MB.bin,12,0.5255093061116733,0.5267956364706456,0.9246846993085623
chaoskey660-1MB.bin,12,0.525513306159674,0.5267996359922141,0.9246737461653893
chaoskey12-1MB.bin,12,0.5257653091837102,0.5270516056841824,0.9239838661944637
chaoskey462-1MB.bin,12,0.5260213122557471,0.527307574558718,0.9232833742936214
chaoskey369-1MB.bin,12,0.5250153001836022,0.5263016949207471,0.9260380539426358
chaoskey275-1MB.bin,12,0.5252263027156326,0.5265126701096337,0.9254598459072189
chaoskey662-1MB.bin,12,0.5256333075996912,0.5269196216007845,0.9243451906379785
chaoskey512-1MB.bin,12,0.5250393004716056,0.5263256921102352,0.925972274490757
chaoskey822-1MB.bin,12,0.5259453113437361,0.5272315838344733,0.9234912972338717
chaoskey566-1MB.bin,12,0.5252893034716417,0.5265756626569381,0.9252872506312295
chaoskey43-1MB.bin,12,0.525451305415665,0.5267376433986035,0.9248435292556068
chaoskey538-1MB.bin,12,0.525465305583667,0.5267516417279309,0.924805189387157
chaoskey27-1MB.bin,12,0.5260183122197466,0.5273045749254326,0.9232915812084905
chaoskey256-1MB.bin,12,0.5258103097237167,0.5270966002374676,0.923860708144075
chaoskey643-1MB.bin,12,0.5254213050556606,0.5267076469752027,0.9249256895570328
chaoskey685-1MB.bin,12,0.5252043024516294,0.5264906727073264,0.9255201221512445
chaoskey391-1MB.bin,12,0.5249602995235942,0.5262467013502684,0.9261888098637197
chaoskey454-1MB.bin,12,0.5256673080076961,0.5269536175096713,0.924252113544153
chaoskey617-1MB.bin,12,0.5258483101797221,0.5271345956298622,0.923756716221956
chaoskey415-1MB.bin,12,0.5260283123397481,0.5273145737028694,0.9232642250076435
chaoskey947-1MB.bin,12,0.5257383088597063,0.5270246089471832,0.9240577660853005
chaoskey664-1MB.bin,12,0.5251363016356196,0.5264226807207331,0.9257064465086959
chaoskey533-1MB.bin,12,0.5250953011436137,0.5263816855407896,0.9258188007973559
chaoskey993-1MB.bin,12,0.5257833093997129,0.5270696035067535,0.9239346017092295
chaoskey419-1MB.bin,12,0.5251013012156146,0.5263876848359585,0.9258023581582884
chaoskey922-1MB.bin,12,0.5256273075276904,0.526913622322125,0.9243616166325483
chaoskey456-1MB.bin,12,0.5255843070116841,0.5268706274862824,0.924479341748481
chaoskey326-1MB.bin,12,0.5258593103117237,0.5271455942946875,0.9237266146998898
chaoskey882-1MB.bin,12,0.5260233122797473,0.5273095743142155,0.9232779030430498
chaoskey569-1MB.bin,12,0.5259503114037368,0.5272365832251446,0.9234776171696379
chaoskey241-1MB.bin,12,0.5254783057396689,0.5267646401756844,0.9247695889955232
chaoskey543-1MB.bin,12,0.5249142989715877,0.5262007067156729,0.9263149087657117
chaoskey163-1MB.bin,12,0.5251413016956203,0.5264276801323265,0.9256927453663845
chaoskey616-1MB.bin,12,0.5253733044796538,0.5266596526880789,0.9250571557988547
chaoskey572-1MB.bin,12,0.5255373064476774,0.5268236331198869,0.9246080290573679
chaoskey22-1MB.bin,12,0.5252533030396365,0.5265396669181348,0.9253858739679648
chaoskey955-1MB.bin,12,0.525527306327676,0.526813634317052,0.9246354108209236
chaoskey711-1MB.bin,12,0.5253153037836454,0.5266016595752385,0.9252160268699003
chaoskey904-1MB.bin,12,0.5254213050556606,0.5267076469752027,0.9249256895570328
chaoskey85-1MB.bin,12,0.5253263039156469,0.52661265827039,0.9251858948014635
chaoskey175-1MB.bin,12,0.5254713056556679,0.526757641011618,0.9247887583277136
chaoskey211-1MB.bin,12,0.5257143085717029,0.5270006118444628,0.924123458063848
chaoskey964-1MB.bin,12,0.5249712996555959,0.5262577000656157,0.9261586574157737
chaoskey407-1MB.bin,12,0.5255723068676824,0.5268586289257358,0.9245121969884659
chaoskey434-1MB.bin,12,0.5251853022236267,0.526471674948774,0.9255721809397008
