Filename,w,p,p 0.99,min entropy
urandom392-1MB.bin,12,0.5255253063036757,0.5268116345564229,0.9246408872361688
urandom61-1MB.bin,12,0.5255943071316855,0.526880626286169,0.9244519629549374
urandom115-1MB.bin,12,0.5257673092077105,0.5270536054423286,0.9239783922794692
urandom748-1MB.bin,12,0.5253623043476522,0.5266486539956013,0.9250872851712209
urandom763-1MB.bin,12,0.5250103001236015,0.5262966955058955,0.9260517583736503
urandom577-1MB.bin,12,0.5255423065076781,0.5268286325211103,0.9245943383710045
urandom494-1MB.bin,12,0.5254213050556606,0.5267076469752027,0.9249256895570328
urandom231-1MB.bin,12,0.5263853166237995,0.5276715297184527,0.9222879492226275
urandom926-1MB.bin,12,0.5255243062916755,0.5268106346761006,0.9246436254516082
urandom216-1MB.bin,12,0.5255963071556858,0.5268826260460843,0.924446487258748
urandom218-1MB.bin,12,0.5257773093277119,0.5270636042327493,0.9239510230168807
urandom24-1MB.bin,12,0.5258413100957211,0.5271275964791928,0.9237758720639029
urandom387-1MB.bin,12,0.5261213134557615,0.5274075623082528,0.9230098372487959
urandom437-1MB.bin,12,0.5256393076716921,0.5269256208792579,0.9243287648309366
urandom91-1MB.bin,12,0.5252713032556391,0.5265576647883743,0.9253365614545592
urandom260-1MB.bin,12,0.5256403076836922,0.5269266207589853,0.9243260272146613
urandom228-1MB.bin,12,0.5258713104557254,0.5271575928374196,0.923693777394057
urandom539-1MB.bin,12,0.525520306243675,0.5268066351547598,0.9246545783654784
urandom704-1MB.bin,12,0.5253793045516546,0.526665651974621,0.9250407218616751
urandom824-1MB.bin,12,0.5259433113197358,0.5272295840781687,0.9234967692959856
urandom217-1MB.bin,12,0.5258083096997164,0.5270946004797663,0.9238661816113487
urandom830-1MB.bin,12,0.5248252979035748,0.5261117170654971,0.926558914109379
urandom627-1MB.bin,12,0.5261963143557723,0.5274825530864541,0.9228047185877586
urandom757-1MB.bin,12,0.525826309915719,0.5271125982983337,0.923816921155479
urandom432-1MB.bin,12,0.5250123001476018,0.5262986952718517,0.9260462765855801
urandom837-1MB.bin,12,0.5257103085237023,0.526996612327053,0.9241344070185527
urandom877-1MB.bin,12,0.5252043024516294,0.5264906727073264,0.9255201221512445
urandom470-1MB.bin,12,0.5250053000636008,0.5262916960909146,0.9260654629352014
urandom10-1MB.bin,12,0.5261723140677688,0.5274585560405957,0.9228703533777244
urandom705-1MB.bin,12,0.5257833093997129,0.5270696035067535,0.9239346017092295
urandom396-1MB.bin,12,0.5259073108877307,0.5271935884611463,0.9235952699730279
urandom822-1MB.bin,12,0.5258033096397157,0.5270896010854224,0.9238798653706325
urandom146-1MB.bin,12,0.5253293039516475,0.5266156579144137,0.9251776770741373
urandom255-1MB.bin,12,0.5256953083437002,0.5269816141360294,0.9241754663407857
urandom180-1MB.bin,12,0.5256953083437002,0.5269816141360294,0.9241754663407857
urandom823-1MB.bin,12,0.5253273039276471,0.5266136581517364,0.9251831555538063
urandom451-1MB.bin,12,0.5253493041916503,0.5266356555400482,0.9251228934247511
urandom319-1MB.bin,12,0.5253513042156506,0.5266376553024978,0.9251174151745394
urandom407-1MB.bin,12,0.5254673056076673,0.5267536414891807,0.9247997123464928
urandom606-1MB.bin,12,0.5250293003516042,0.5263156932816438,0.9259996822302284
urandom322-1MB.bin,12,0.5256083072996875,0.5268946246051412,0.9244136335192326
urandom867-1MB.bin,12,0.525513306159674,0.5267996359922141,0.9246737461653893
urandom893-1MB.bin,12,0.5261023132277587,0.527388564639822,0.9230618052857205
urandom1-1MB.bin,12,0.5255043060516726,0.5267906370685688,0.9246983908547886
urandom139-1MB.bin,12,0.5259873118477422,0.5272735787120916,0.9233763887367558
urandom208-1MB.bin,12,0.5257583090997092,0.5270446065305077,0.9240030250609507
urandom191-1MB.bin,12,0.5256993083917006,0.5269856136537494,0.9241645170736197
urandom630-1MB.bin,12,0.5256923083076996,0.5269786144976849,0.9241836783458434
urandom671-1MB.bin,12,0.5250893010716129,0.5263756862454345,0.9258352436243351
urandom566-1MB.bin,12,0.5256443077316928,0.5269306202778434,0.9243150768016491
urandom469-1MB.bin,12,0.5248492981915783,0.5261357142785669,0.9264931108405552
urandom980-1MB.bin,12,0.5253173038076457,0.52660365933804,0.9252105482650645
urandom95-1MB.bin,12,0.5249562994755937,0.5262427018172597,0.9261997745469176
urandom410-1MB.bin,12,0.5258903106837282,0.5271765905285551,0.923641786525839
urandom187-1MB.bin,12,0.5252453029436354,0.5265316678641572,0.9254077911831133
urandom18-1MB.bin,12,0.5251273015276183,0.526413681779539,0.9257311088936528
urandom495-1MB.bin,12,0.5254943059316712,0.5267806382640271,0.9247257743381186
urandom301-1MB.bin,12,0.5250333003996048,0.5263196928131425,0.9259887190717878
urandom308-1MB.bin,12,0.5255043060516726,0.5267906370685688,0.9246983908547886
urandom3-1MB.bin,12,0.5253193038316459,0.5266056591008206,0.9252050696810907
urandom162-1MB.bin,12,0.5254823057876694,0.5267686396978941,0.924758635206083
urandom739-1MB.bin,12,0.525506306075673,0.5267926368294151,0.924692914220663
urandom502-1MB.bin,12,0.5256033072396868,0.5268896252056248,0.9244273224861937
urandom629-1MB.bin,12,0.5252323027876334,0.5265186694007374,0.9254434073698276
urandom318-1MB.bin,12,0.5255863070356844,0.5268726272463011,0.9244738659480922
urandom223-1MB.bin,12,0.5256783081396976,0.5269646161847955,0.9242220016558654
urandom550-1MB.bin,12,0.5255543066516798,0.5268406310835191,0.9245614812552404
urandom697-1MB.bin,12,0.5252533030396365,0.5265396669181348,0.9253858739679648
urandom895-1MB.bin,12,0.5256053072636871,0.5268916249654468,0.9244218468837804
